What is the colour of the centre colour of the Indian National Flag?,White,B,Black,White,Orange,Green,7
What is the name of the most recent volcano which erupted in New Zealand?,White Island,C,Rangitoto,Taupo,White Island,Waiheke Island,7
How many books are in the Harry Potter series?,Seven,C,Eight,Five ,Seven,Ten,7
What is the name of the company which provides clean fresh drinking water to Aucklanders every single day?,Watercare,A,Watercare,Healthy Waters,Veolia,Water and co,7
On average how many litres of water do Aucklanders consume every day?,Four hundred and fifty million,B,200 million,Four hundred and fifty million,Hundred Million,one trillion,7
Which country was Nelson Mandela from?,South Africa,B,Africa,South Africa,Zimbabawe,Nigeria,7
How many presidents have there been so far for USA?,Fourty nine,C,50,74,49,36,8
What type of cars is Tesla famous for producing?,Electric,D,Hybrid,Disel,Solar Powered,Electric,8
What is the name of the virus that was responsible for the global pandemic in 2020?,Corona Virus ,A,Corona Virus ,Influenza,AIDS,Herpes,8
What is the model of the worlds largest passenger aircraft?,Airbus A380,C,Boeing 747,The Concord,Airbus A380,Sesna,8
How many people died during the construction phase of the Auckland harbour bridge?,Three people ,D,5 People,9 People,20 People,3 People,8
Hg is the chemical symbol of which element?,Mercury,D,Lead,Sodium,Helium,Mercury,8
What did the crocodile swallow in Peter Pan?,An Alarm Clock,B,A Teddy Bear,An Alarm Clock,A Leg,A Watch,8
Before it was a called a mouse what animal was that computer accessory named after?,Turtle,C,Rat,Weasel,Turtle,Hamster,8
Which of these is regarded as a national symbol of Canada?,Maple Leaf,C,Fig Leaf,Tea Leaf,Maple Leaf,Fern Leaf,9
In the novel The Lord of The Rings which region of Middle Earth are the Hobbits from?,The Shire,C,The Green,The City,The Shire,The Boulder,9
Which of these people was born the same year as Queen Elizabeth II?,Marilyn Monroe,A,Marilyn Monroe,Audrey Hepburn,Judy Garland,Julie Andrews,9
What is the tallest mountain in New Zealand?,Mount Cook,B,Mount Everest,Mount Cook,Mount Tasman,Mount Taranaki,9
How many states make up New Zealand?,Zero,B,Two,Zero,Three,One,9
What is the world's most expensive spice by weight?,Saffron,C,Cinnamon,Cardamon,Saffron,Basil,9
What’s the shortcut for the “copy” function on most computers?,Ctrl C,D,Ctrl D,Ctrl +/,Ctrl X,Ctrl C,9
How many players are on the field for a regular rugby game?,Fifteen,A,Fifteen,Five,Eleven,Tweleve,10
Who was responsible for developing the following equations? - E=MC^2,Albert Einstien,C,Jeff Bezoz,Elon Musk,Albert Einstien,Thomas Edison,10
What is the main colour of the Cadbury logo?,Purple,D,Red,Blue ,White,Purple,10
What is the name of the leading electrical car company?,Tesla,A,Tesla,Ford,Nissan,Toyota ,10
How many neck bones does a giraffe have?,Seven,A,Seven,Ten,Eight,Four,10
How many years are there in a century?,Hundred,B,Fifty,Hundred,Thirty,Twelve,10
What is the capital of USA?,Washington DC,D,Texas,Los Angeles,New York,Washington DC,10
Obstetrics is a branch of medicine particularly concerned with what?,Childhood,B,Dentistry,Childhood,Bones,Eyes,11
February 14th is well know as being what day?,Valentines Day,C,Labour day,Christmas ,Valentines Day,Queen's Birthday,11
How many stars are on the USA flag?,Fifty,C,Fifty-two,Four,Fifty,Five,11
What sort of animal is known as the mountain chicken in the Caribbeans?,Frog,A,Frog,Seagull,Chicken,Rat,11
What programming language can also be used to reference coffee?,Java,B,Python,Java,HTML,C++,11
Which toys have been marketed with the phrase “Robots in Disguise”?,Transformers,B,Barbies,Transformers,Legos ,Bratz Dolls,11
Which is the only monarch that was both born and died at Buckingham Palace?,Edward VII,C,Victoria,William IV,Edward VII,Elizabeth I,12
Who was the first person to split an atom?,Ernest Rutherford,D,Maurice Wilkins,Marie Curie,Sir Edmund Hillary,Ernest Rutherford,12
What is a Platypus classified as?,Mammalia,A,Mammalia,Aves,Reptilia,Agnatha,12
Construction of which of these famous landmarks was completed first?,Big Ben Clock Tower,C,Eiffel Tower,Statue of Liberty,Big Ben Clock Tower,Sky Tower,12
Which New Zealand island is Oban?,Stewart Island,D,Great Barrier Island,South Island,Green Island,Stewart Island,12
How many hearts does an octopus have?,Three,A,Three,Four,Two,One,12
What is the name of the national rugby team of new zealand?,All blacks,A,All blacks,Black caps,Silver ferns ,Strong Blacks,13
Sir Edmund Hillary climbed Mount Everest in which year?,1953,B,1960,1953,1959,1948,13
Which chess piece can only move diagonally?,Bishop,C,Pawn,Knight,Bishop,King,13
Who is featured on the NZ $10 note?,Kate Shepard ,B,The Queen,Kate Shepard,Mrs Pearl,Julia Gillard,13
What is the Maori name for New Zealand? ,Aotearoa,C,Pokeno,Aoraki,Aotearoa,Taupo,13
Which one of these characters is not friends with Harry Potter?,Draco Malfoy,C,Ron Weasley,Neville Longbottom,Draco Malfoy,Hermione Granger,13
What is the largest planet in our solar system?,Jupiter,A,Jupiter,Saturn,Neptune,Earth,13
What is the highest-grossing film of all time?,Avengers: Endgame,B,Titanic,Avengers: Endgame,Avatar,Star Wars: The Force Awakens,14
What is the top number of a fraction called?,Numerator,B,Denominator,Numerator,Decimal,Fractional,14
What is the sum of the angles of a triangle?,180 degrees,C,75 degrees,90 degrees,180 degrees,360 degrees,14
Which iconic horror film involves a couple whose newborn child is replaced at birth with the Antichrist?,The Omen,D,The Exorcist,The Shining,Scream,The Omen,14
Who was the first man to step on the moon?,Neil Armstrong,A,Neil Armstrong,John Key,Sir Edmund hillary,Albert Einstien,14
Globe and Jerusalem are types of what?,Artichoke,C,Pear,Avocado,Artichoke,Onion,14
Which kind of flower bulbs were once exchanged as a form of currency?,Tulips,D,Roses,Daisies,Orchids,Tulips,14
Which country produces the most coffee in the world?,Brazil,A,Brazil,Columbia,Australia,South Africa,14
Which country did AC/DC originate in?,Australia,C,New Zealand,United Stated,Australia,England,14
How many presidential impeachments have occurred in US history?,Four,B,Five,Four,Thirty,Three,14
What is the answer to the meaning of life?,Forty Two,B,Death,Forty two,Yes,Love,15
Which insect shorted out an early supercomputer and inspired the term computer bug?,Moth,A,Moth,Roach,Fly,Ants,15
Which of the following is not a native frog species of New Zealand?,Tooeys Large Frog,B,Archeys Frog,Tooeys Large Frog,Maud Island Frog,Hamiltons Frog,15
Cibophobia is the fear of what?,Food,D,Orange Cats,Texting,Phones,Food,15
What is the cross between a donkey and a zebra known as?,Zeedonk,C,Zoinky,Zeebra,Zeedonk,Zebkey,15
